0, 0.000000, 0.000000, 0.000000
1, 0.285479, 0.004164, 0.029158
2, 0.586170, 0.016053, 0.059498
3, 0.875320, 0.047704, 0.166280
4, 1.157180, 0.116432, 0.312464
5, 1.431020, 0.225456, 0.433825
6, 1.691487, 0.360191, 0.530362
7, 1.940655, 0.520532, 0.611532
8, 2.182882, 0.702060, 0.663544
9, 2.413594, 0.892826, 0.716737
10, 2.636332, 1.095384, 0.760868
11, 2.850542, 1.309337, 0.806970
12, 3.056959, 1.532026, 0.836916
13, 3.260105, 1.761832, 0.856617
14, 3.436001, 1.989551, 1.029202
15, 3.587924, 2.250969, 1.076879
16, 3.720872, 2.520537, 1.110766
17, 3.845632, 2.788847, 1.152139
18, 3.963798, 3.067437, 1.190753
19, 4.071653, 3.350671, 1.223458
20, 4.166223, 3.636067, 1.273105
