0, 0.000000, 0.000000, 0.000000
1, 0.289381, -0.004154, -0.010245
2, 0.605640, -0.012354, -0.054770
3, 0.913604, -0.035286, -0.085898
4, 1.219840, -0.061316, -0.081958
5, 1.526175, -0.086165, -0.079594
6, 1.832681, -0.109499, -0.072107
7, 2.149154, -0.131948, -0.073683
8, 2.453892, -0.156801, -0.074077
9, 2.762187, -0.181501, -0.075653
10, 3.045543, -0.206658, -0.104812
11, 3.336194, -0.190233, 0.160764
12, 3.642252, -0.145420, 0.129635
13, 3.948453, -0.108956, 0.112298
14, 4.241652, -0.073089, 0.175737
15, 4.485304, 0.036606, 0.529968
16, 4.757064, 0.185715, 0.481897
17, 5.030820, 0.327319, 0.472834
18, 5.303709, 0.466576, 0.473228
19, 5.577518, 0.608415, 0.481108
20, 5.849760, 0.750049, 0.478350
